,Precio
2016-08-20,10364.0582539
2016-08-21,10342.81299043
2016-08-22,10299.39267302
2016-08-23,10312.22942384
2016-08-24,10452.666073
2016-08-25,10460.95833911
2016-08-26,10451.73194405
2016-08-27,10885.54537399
2016-08-28,10868.86322047
2016-08-29,10842.92869593
2016-08-30,10840.21299027
2016-08-31,10750.51059899
2016-09-01,10686.01797358
2016-09-02,10409.37393706
2016-09-03,10473.48720009
2016-09-04,10413.42580576
2016-09-05,10454.01621766
2016-09-06,10440.05481261
2016-09-07,10443.45564537
2016-09-08,10318.56576373
2016-09-09,10005.30409192
2016-09-10,9749.32956561
2016-09-11,9523.4966324
2016-09-12,9658.39352351
2016-09-13,9659.75965197
2016-09-14,9740.92537472
2016-09-15,9744.03480929
2016-09-16,9700.48367351
2016-09-17,9732.44887478
2016-09-18,9603.27384311
2016-09-19,9608.6878124
2016-09-20,9618.29529874
2016-09-21,9626.41063471
2016-09-22,9687.91515162
2016-09-23,9721.32519518
2016-09-24,9778.66491029
2016-09-25,9633.24668835
2016-09-26,9682.38959987
2016-09-27,9677.06369243
2016-09-28,9680.62944326
2016-09-29,9742.23980549
2016-09-30,9825.30588088
2016-10-01,9687.24142343
2016-10-02,9760.81280046
2016-10-03,9798.97278622
2016-10-04,9777.48750192
2016-10-05,9821.49223942
2016-10-06,9864.16609371
2016-10-07,10148.23427524
2016-10-08,10260.73663318
2016-10-09,10059.69880736
2016-10-10,10155.54619772
2016-10-11,10152.12129025
2016-10-12,10052.16146719
2016-10-13,10083.64769594
2016-10-14,10329.65508731
2016-10-15,10279.42397977
2016-10-16,10273.2515526
2016-10-17,9607.84144153
2016-10-18,9603.79693693
2016-10-19,9516.85777283
2016-10-20,9394.89398921
2016-10-21,9455.94882809
2016-10-22,9373.82633345
2016-10-23,9202.78634215
2016-10-24,9154.95991765
2016-10-25,9156.15259288
2016-10-26,9193.35549871
2016-10-27,9271.64606582
2016-10-28,9180.77653769
2016-10-29,8985.54847818
2016-10-30,8992.69482483
2016-10-31,9138.67397001
2016-11-01,9127.1910677
2016-11-02,9242.29281395
2016-11-03,9118.52752382
2016-11-04,9124.86044504
2016-11-05,9017.78237076
2016-11-06,9109.17958982
2016-11-07,9175.77502021
2016-11-08,9179.71962325
2016-11-09,9184.18933037
2016-11-10,9215.69740195
2016-11-11,9175.91330628
2016-11-12,9430.49672335
2016-11-13,9336.63334625
2016-11-14,9292.05358352
2016-11-15,9277.43111123
2016-11-16,9263.60420348
2016-11-17,9375.74249475
2016-11-18,9304.19366868
2016-11-19,9188.16414071
2016-11-20,8818.32774649
2016-11-21,8859.40575544
2016-11-22,8871.90402001
2016-11-23,8880.33611819
2016-11-24,8829.73462273
2016-11-25,8882.14619239
2016-11-26,8716.20800443
2016-11-27,8725.76204431
2016-11-28,8665.0625075
2016-11-29,8665.0625075
2016-11-30,8658.05136119
2016-12-01,8731.53494124
2016-12-02,8853.63493826
2016-12-03,8903.06298594
2016-12-04,8894.1313472
2016-12-05,8793.87640646
2016-12-06,8733.73160724
2016-12-07,9088.23815479
2016-12-08,8873.97336835
2016-12-09,9020.37571806
2016-12-10,9088.64662089
2016-12-11,9111.50475033
2016-12-12,9126.90184104
2016-12-13,9126.90184104
2016-12-14,9122.51048081
2016-12-15,9105.17354611
2016-12-16,9276.35995387
2016-12-17,9285.19045651
2016-12-18,9302.30796324
2016-12-19,9258.26062014
2016-12-20,9258.26062014
2016-12-21,9285.25370702
2016-12-22,9282.53724342
2016-12-23,9441.31571803
2016-12-24,9473.46892016
2016-12-25,9397.31158323
2016-12-26,9350.16764144
2016-12-27,9350.16764144
2016-12-28,9387.54395939
2016-12-29,9419.491447
2016-12-30,9393.72663933
2016-12-31,9303.15505966
2017-01-01,9249.45297564
2017-01-02,9440.61886847
2017-01-03,9440.61886847
2017-01-04,9421.21706575
2017-01-05,9428.81445472
2017-01-06,9575.84175426
2017-01-07,9710.04154614
2017-01-08,9685.08108544
2017-01-09,9704.56714023
2017-01-10,9704.56714023
2017-01-11,9736.54258483
2017-01-12,9746.41980894
2017-01-13,9753.64339252
2017-01-14,9752.9156533
2017-01-15,9702.60253919
2017-01-16,9898.58463414
2017-01-17,9898.58463414
2017-01-18,10057.28194015
2017-01-19,9872.02319594
2017-01-20,10096.34724135
2017-01-21,10024.17679729
2017-01-22,10023.0584948
2017-01-23,10051.74957006
2017-01-24,10051.74957006
2017-01-25,10034.41526228
2017-01-26,10041.97382006
2017-01-27,10115.4819673
2017-01-28,9971.7246312
2017-01-29,10215.13648083
2017-01-30,10234.3323723
2017-01-31,10284.68252924
2017-02-01,10283.80924409
2017-02-02,10205.13996026
2017-02-03,10222.18763014
2017-02-04,10232.68870901
2017-02-05,9976.61096532
2017-02-06,10012.25104752
2017-02-07,9932.6890762
2017-02-08,9891.86987096
2017-02-09,9968.92150159
2017-02-10,9805.72496592
2017-02-11,9669.36829909
2017-02-12,9396.22114914
2017-02-13,9513.60037704
2017-02-14,9513.60037704
2017-02-15,9500.67423609
2017-02-16,9527.64375087
2017-02-17,9457.76312214
2017-02-18,9711.1306769
2017-02-19,9578.86390827
2017-02-20,9726.17282064
2017-02-21,9726.17282064
2017-02-22,9738.26102903
2017-02-23,9623.32265939
2017-02-24,9767.85277512
2017-02-25,9809.16040663
2017-02-26,9783.9264179
2017-02-27,9876.33687915
2017-02-28,9876.33687915
2017-03-01,9894.70348974
2017-03-02,10012.84163771
2017-03-03,10063.62951992
2017-03-04,10113.09841476
2017-03-05,10043.72558296
2017-03-06,10178.39502567
2017-03-07,10178.39502567
2017-03-08,10153.60438371
2017-03-09,10167.08835196
2017-03-10,10120.2474593
2017-03-11,10134.82131014
2017-03-12,10249.9704872
2017-03-13,10045.00758152
2017-03-14,10045.00758152
2017-03-15,10056.27445942
2017-03-16,9995.17443102
2017-03-17,10223.61964263
2017-03-18,10323.09918104
2017-03-19,10337.23964588
2017-03-20,10353.92906359
2017-03-21,10353.92906359
2017-03-22,10398.17124859
2017-03-23,10246.88248589
2017-03-24,10158.67935326
2017-03-25,10115.6909977
2017-03-26,10056.10862856
2017-03-27,9949.26578602
2017-03-28,9949.26578602
2017-03-29,9789.87643367
2017-03-30,9967.83968552
2017-03-31,9769.89099554
2017-04-01,9710.68266174
2017-04-02,9682.71798051
2017-04-03,9639.95348992
2017-04-04,9639.95348992
2017-04-05,9574.77887699
2017-04-06,9468.31396049
2017-04-07,9394.79843999
2017-04-08,9271.8801533
2017-04-09,9089.61610751
2017-04-10,9111.64199075
2017-04-11,9111.64199075
2017-04-12,9190.97052561
2017-04-13,9146.03317068
2017-04-14,9094.77506467
2017-04-15,9128.97725691
2017-04-16,9226.24017951
2017-04-17,9259.66677746
2017-04-18,9259.66677746
2017-04-19,9266.52444816
2017-04-20,9402.53488656
2017-04-21,9491.76600201
2017-04-22,9516.74446646
2017-04-23,9503.77715515
2017-04-24,9581.77510053
2017-04-25,9581.77510053
2017-04-26,9583.62949093
2017-04-27,9851.12984124
2017-04-28,9794.45696655
2017-04-29,9977.60221021
2017-04-30,10016.91357149
2017-05-01,10282.11462089
2017-05-02,10282.11462089
2017-05-03,10278.36364216
2017-05-04,10134.99076459
2017-05-05,9948.1814893
2017-05-06,9899.8891493
2017-05-07,9821.37944852
2017-05-08,9903.7498031
2017-05-09,9903.7498031
2017-05-10,9927.46206297
2017-05-11,9991.63026961
2017-05-12,10028.72772862
2017-05-13,9958.09597557
2017-05-14,9905.47233159
2017-05-15,9758.63146817
2017-05-16,9758.63146817
2017-05-17,9743.84069163
2017-05-18,9601.82328408
2017-05-19,9617.0638117
2017-05-20,9665.30749571
2017-05-21,9547.11916426
2017-05-22,9495.47500882
2017-05-23,9495.47500882
2017-05-24,9473.49294769
2017-05-25,9482.9971542
2017-05-26,9375.27375582
2017-05-27,9393.32602105
2017-05-28,9465.75757649
2017-05-29,9474.66494258
2017-05-30,9474.66494258
2017-05-31,9443.55624758
2017-06-01,9417.96098786
2017-06-02,9535.44636524
2017-06-03,9563.77749378
2017-06-04,9435.39199221
2017-06-05,9410.06827304
2017-06-06,9410.06827304
2017-06-07,9413.60926963
2017-06-08,9147.52672439
2017-06-09,9140.6526778
2017-06-10,9103.21076745
2017-06-11,8977.72051836
2017-06-12,8962.60486841
2017-06-13,8969.93406323
2017-06-14,8901.45092565
2017-06-15,8837.16745261
2017-06-16,8964.03348296
2017-06-17,9069.09098106
2017-06-18,8970.59186843
2017-06-19,9128.73420071
2017-06-20,9128.73420071
2017-06-21,9161.04541823
2017-06-22,9237.51023955
2017-06-23,9315.83162205
2017-06-24,9295.82136721
2017-06-25,9278.4766765
2017-06-26,9483.64351704
2017-06-27,9483.64351704
2017-06-28,9430.02217415
2017-06-29,9468.11280419
2017-06-30,9423.65248239
2017-07-01,9520.15848778
2017-07-02,9508.64995631
2017-07-03,9569.09302997
2017-07-04,9569.09302997
2017-07-05,9552.45281454
2017-07-06,9597.2409605
